Organization Name: Organization Name,Request 18 Digit ID,Investment Proposal Name,Description,Due Date,Investment Proposal Record Type,Deliverable,Deliverable ID,ETEN Ivest June 30
55 Table,006Uq0000092wvZIAQ,2025 - 55 Table Organizational Development Investment Proposals,Survey and gather data on China - verify and clarify AAG needs for over thirty sign languages there. Emphasize new methodologies to accelerate research.,2025-12-31,Organizational Development,B-000003201,a0xUq000000WFC1,0.0
Lutheran Bible Translators,006Uq0000093XbmIAE,Southern Africa Bible Translation Summit,Engage with country groups to make plans for local gatherings,2025-03-31,Organizational Development,B-000003289,a0xUq000000WKmn,7500.0
Pioneer Bible Translators,006Uq00000BAWhrIAH,PBT 2025 iN Undesignated Funding,,,,,,33910.63
SIL International,006Uq000008triDIAQ,Multilingualism Assessment Tool (MAT),Roll out support completed in at least four countries. End Q3,2025-09-30,Translation Tool,B-000003002,a0xUq000000VUjO,50000.0
unfoldingWord,006Uq000008piDiIAI,2025 - Open Components Ecosystem,Q1: Host an OCE Sync and the OCE Hackathon,2025-03-31,Translation Tool,B-000003091,a0xUq000000Vt0D,50000.0
Lutheran Bible Translators,006Uq00000BASMXIA5,LBT 2025 iN Undesignated Funding,,,,,,58405.78
"Deaf Bible Society, Inc.",006Uq00000BAb6PIAT,DBS 2025 iN Undesignated Funding,,,,,,65113.38
SIL International,006Uq000008rmbNIAQ,Augmented Quality Assessment (AQuA),"Have 175 translation projects using the AQuA by March 2025 Experiment and Develop Question-Answering assessment, add readability assessment to API, allow direct import of Paratext projects.",2025-03-31,Translation Tool,B-000002916,a0xUq000000VIYX,75000.0
unfoldingWord,006Uq000008fU8nIAE,2025 - Global Church-Centric Bible Translation (CCBT) Forum,Q1: Review 2024 Forum feedback and establish 2025 Project Plan.,2025-03-31,Quality Assurance,B-000003004,a0xUq000000VXfd,75000.0
Pioneer Bible Translators,006Uq00000BAY26IAH,2025 PBT - Translation,,,,,,88536.0
"Deaf Bible Society, Inc.",006Uq0000093nqDIAQ,"CY25 ETEN MEET + SURV Tools Proposal_Deaf Bible Society, Inc. Translation Tool Investment Proposal","Milestone 1: Signed Biblical Translation Resources (Multi-lingual) Due Date: Q1 Description: Integrated Biblical Resource Library for each sign language project. At micro-level it accelerates Biblical knowledge and improves comprehension quality. At the macro-level it catalyzes community engagement and spiritual growth. As a side effect, it creates foundational resources for training A.I. capabilities.",2025-03-31,Translation Tool,B-000003318,a0xUq000000WNG1,100000.0
"The Wycliffe Seed Company, Inc.",006Uq0000081c1pIAA,MLQAs for Accelerated Quality Assurance,44 of the 81 active MLQAs complete a customized growth plan and are actively serving in translation projects.,2025-12-31,Quality Assurance,B-000002848,a0xUq000000RIC9,100000.0
United Bible Societies,006Uq0000093CQrIAM,UBSA OD - Bible Societies Oceania Alliance (BSO) Capacity Building,Collective Impact Milestone 2a: Piloting of AVTT. With a view to roll out across BSO The South Pacific have languages with potential to pilot Oral Bible Translation OBT using AVTT tool: 1. Identify and train OBT Coordinator for BSO using AVTT Tool and to coordinate OBT pilot projects in the region. RIMS (pilot language to be determined),2025-09-30,Organizational Development,B-000003244,a0xUq000000WHVa,100000.0
unfoldingWord,006Uq000008pjo5IAA,2025 - Scribe,Q1: Text-to-speech AI API Integration: AI Application Programming Interfaces (APIs) for automatically reading out text. This may be especially useful for some users to improve access to resource content in LWCs.,2025-03-31,Translation Tool,B-000003063,a0xUq000000VmRl,112500.0
