_,X18_Digit_Account_ID__c,Name,Phone,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Website,npe01__One2OneContact__c,FGM_Base__EIN__c,OwnerId,Description,RecordTypeId
[Account],0015c000025Gz5HAAS,55 Table,(817) 791-7177 x___,2804 WORCESTER COURT,Arlington,TX,76001,United States,,0035c00002XyMiyAAF,,0055c000008YGuWAAW,,0125c0000016kFXAAY
[Account],001Uq0000097u0KIAQ,55 Table Admin Team,,,,,,,,,,0055c000008YGuWAAW,,0125c0000016kFXAAY
[Account],001Uq00000NIbezIAD,55 Table CCW (Cross Collaboration Workgroup),,,,,,,,0032G00002eygAcQAI,,0055c000008YGuWAAW,,0125c0000016kFXAAY
[Account],001Uq00000981hmIAA,55 Table Data WG,,,,,,,,,,0055c000008YGuWAAW,,0125c0000016kFXAAY
[Account],001Uq00000NHgiMIAT,55 Table Deaf Tech (AI and Innovation),,,,,,,,003Uq000008vnH9IAI,,0055c000008YGuWAAW,Mark is the co-leader of this workgroup and a member of the Admin team,0125c0000016kFXAAY
[Account],001Uq00000NHal2IAD,55 Table FBI (Full Bible Initiative),,,,,,,,003Uq000008vdbBIAQ,,0055c000008YGuWAAW,co-leader for this workgroup and member of the 55 Table Admin team,0125c0000016kFXAAY
[Account],001Uq00000986mFIAQ,55 Table Field Strategy WG,,,,,,,,,,0055c000008YGuWAAW,,0125c0000016kFXAAY
[Account],001Uq00000NHVlOIAX,55 Table GAP (Goals and Progress),,,,,,,,003Uq000008vlfEIAQ,,0055c000008YGuWAAW,Terri is the co-leader of this workgroup and a member of the 55 Table Admin team,0125c0000016kFXAAY
[Account],001Uq0000097vE9IAI,55 Table Tools & Training,,,,,,,,,,0055c000008YGuWAAW,,0125c0000016kFXAAY
[Account],0015c00002g1TlUAAU,ACHIEVE Alliance,,,,,,,,,,0055c000009P36IAAS,ACHIEVE = A Church In Every Village Everywhere,0125c000000uXllAAE
[Account],0012G00001mDvcAQAS,American Bible Society,(215) 309-0900,101 North Independence Mall East FL8,Philadelphia,PA,19106-2155,United States,https://www.americanbible.org/,003Uq00000EQPyoIAH,13-1623885,0055c000009OfwiAAC,"Making the Bible available to every person in a language and format each can understand and afford, so all people may experience its life-changing message.",0121N000001ay18QAA
[Account],001Uq00000QHWirIAH,Baptist World Alliance,,,,,,,https://baptistworld.org/,,,0055c00000AJ8G2AAL,"""Networking the Baptist Family to Impact the World for Christ.""",0121N000001ay18QAA
[Account],0015c00002P1aZgAAJ,Bible Society of Australia,,,,,,,https://www.biblesociety.org.au/,,,0052G000009uthyQAA,,0121N000001ay18QAA
[Account],0012G00001mE1IvQAK,Biblica,(719) 488-9200,300 General Palmer Drive #4,Palmer Lake,CO,80133-1871,US,https://www.biblica.com/,0035c00002eIlERAA0,84-1194554,0055c000009OtFYAA0,,0121N000001ay18QAA
[Account],0015c00002g1eECAAY,Biglife,,PO Box 110431,Naples,FL,34108,US,https://big.life/,,65-1060939,0055c000009P36IAAS,"From Asia to Africa, Europe to the Americas, Biglife finds the persons of peace and empowers them to share the Good News—where they live. Biglife is not a church and more than a ministry. Biglife is a way for believers all over the world to reach others for Christ, disciple them, and multiply their numbers. Biglife is a movement.",0121N000001ay18QAA
